NetworkID,Genome,Subgroup
13197,0_KI669419_Prevotella_nigrescens_CC14M_weight,0_KI669419_Prevotella_nigrescens_CC14M_weight
13198,0_KV878023_Rhizobium_pusense_weight,0_CP032923_Agrobacterium_tumefaciens_weight
13199,0_LAAO01000012_weight,0_LAAO01000012_weight
13200,0_LFQU01000051_Prevotella_rara_weight,0_HF992559_Prevotella_sp._CAG:1185_weight
13201,0_LJOW01000239_Aphanizomenon_flos-aquae_WA102_weight,0_LJOW01000239_Aphanizomenon_flos-aquae_WA102_weight
13202,0_LMGN01000011_Rhizobium_sp._Root564_weight,0_JPYQ01000001_Rhizobium_sp._YS-1r_weight
13203,0_LMHB01000005_Rhizobium_sp._Root651_weight,0_CP032923_Agrobacterium_tumefaciens_weight
13204,0_LRGC01000013_Bacteroides_stercoris_weight,0_Alex_ape_weight
13205,0_LT009739_Agrobacterium_sp._NCPPB_925_weight,0_CP032923_Agrobacterium_tumefaciens_weight
13206,0_LVUT01000012_weight,0_LAAO01000012_weight
13207,0_LYXZ01000012_Labrys_sp._WJW_weight,0_LYXZ01000012_Labrys_sp._WJW_weight
13208,0_MAGZ01000012_Elizabethkingia_meningoseptica_weight,0_CCAB010000112_Elizabethkingia_anophelis_fragment_weight
13209,0_MAHQ01000003_Elizabethkingia_bruuniana_weight,0_CCAB010000112_Elizabethkingia_anophelis_fragment_weight
13210,0_MAHS01000003_Elizabethkingia_anophelis_weight,0_CCAB010000112_Elizabethkingia_anophelis_fragment_weight
13211,0_MKSU01000016_Sphingomonas_sp._67-36_weight,0_Amyovirinae_JX904102_1
13212,0_MNTT01000014_Acetobacter_sp._46_36_weight,0_MNTT01000014_Acetobacter_sp._46_36_weight
13213,0_MPVW01000153_Acinetobacter_baylyi_fragment_weight,0_MPVW01000153_Acinetobacter_baylyi_fragment_weight
13214,0_MPVW01000213_Acinetobacter_baylyi_fragment_weight,0_MPVW01000213_Acinetobacter_baylyi_fragment_weight
13215,0_MPVW01000225_Acinetobacter_baylyi_fragment_weight,0_MPVW01000225_Acinetobacter_baylyi_fragment_weight
13216,0_MPVW01000341_Acinetobacter_baylyi_fragment_weight,0_MPVW01000341_Acinetobacter_baylyi_fragment_weight
13217,0_MVYU01000002_Entomoplasmatales_bacterium_EntAcro1_fragment_weight,0_MVYU01000002_Entomoplasmatales_bacterium_EntAcro1_fragment_weight
13218,0_MVYU01000026_Entomoplasmatales_bacterium_EntAcro1_fragment_weight,0_MVYU01000026_Entomoplasmatales_bacterium_EntAcro1_fragment_weight
13219,0_MVYU01000065_Entomoplasmatales_bacterium_EntAcro1_fragment_weight,0_MVYU01000065_Entomoplasmatales_bacterium_EntAcro1_fragment_weight
13220,0_MVYU01000081_Entomoplasmatales_bacterium_EntAcro1_fragment_weight,0_MVYU01000065_Entomoplasmatales_bacterium_EntAcro1_fragment_weight
13221,0_MVYU01000088_Entomoplasmatales_bacterium_EntAcro1_fragment_weight,0_MVYU01000065_Entomoplasmatales_bacterium_EntAcro1_fragment_weight
13222,0_MVYU01000103_Entomoplasmatales_bacterium_EntAcro1_weight,0_MVYU01000103_Entomoplasmatales_bacterium_EntAcro1_weight
13223,0_MVYU01000105_Entomoplasmatales_bacterium_EntAcro1_fragment_weight,0_MVYU01000065_Entomoplasmatales_bacterium_EntAcro1_fragment_weight
13224,0_MVYU01000116_Entomoplasmatales_bacterium_EntAcro1_fragment_weight,0_MVYU01000065_Entomoplasmatales_bacterium_EntAcro1_fragment_weight
13225,0_MVYU01000117_Entomoplasmatales_bacterium_EntAcro1_fragment_weight,0_MVYU01000065_Entomoplasmatales_bacterium_EntAcro1_fragment_weight
13226,0_MVYU01000119_Entomoplasmatales_bacterium_EntAcro1_fragment_weight,0_MVYU01000065_Entomoplasmatales_bacterium_EntAcro1_fragment_weight
13227,0_MVYU01000151_Entomoplasmatales_bacterium_EntAcro1_fragment_weight,0_MVYU01000065_Entomoplasmatales_bacterium_EntAcro1_fragment_weight
13228,0_MVYU01000155_Entomoplasmatales_bacterium_EntAcro1_fragment_weight,0_MVYU01000065_Entomoplasmatales_bacterium_EntAcro1_fragment_weight
13229,0_MVYU01000158_Entomoplasmatales_bacterium_EntAcro1_fragment_weight,0_MVYU01000065_Entomoplasmatales_bacterium_EntAcro1_fragment_weight
13230,0_MVYU01000161_Entomoplasmatales_bacterium_EntAcro1_fragment_weight,0_MVYU01000065_Entomoplasmatales_bacterium_EntAcro1_fragment_weight
13231,0_MVYU01000179_Entomoplasmatales_bacterium_EntAcro1_fragment_weight,0_MVYU01000065_Entomoplasmatales_bacterium_EntAcro1_fragment_weight
13232,0_MVYU01000184_Entomoplasmatales_bacterium_EntAcro1_fragment_weight,0_MVYU01000184_Entomoplasmatales_bacterium_EntAcro1_fragment_weight
13233,0_MVYU01000194_Entomoplasmatales_bacterium_EntAcro1_fragment_weight,0_MVYU01000065_Entomoplasmatales_bacterium_EntAcro1_fragment_weight
13234,0_MVYU01000199_Entomoplasmatales_bacterium_EntAcro1_fragment_weight,0_MVYU01000026_Entomoplasmatales_bacterium_EntAcro1_fragment_weight
13235,0_NFLA01000001_Erysipelatoclostridium_sp._An15_weight,0_NFLA01000001_Erysipelatoclostridium_sp._An15_weight
13236,0_NZ_ASYJ01000020_Elizabethkingia_anophelis_weight,0_CCAB010000112_Elizabethkingia_anophelis_fragment_weight
13237,0_NZ_BAKD01000001_Prevotella_nanceiensis_weight,0_NZ_BAKD01000001_Prevotella_nanceiensis_weight
13238,0_NZ_CABIXG010000003_Parabacteroides_merdae_weight,0_CZAG01000003_Parabacteroides_merdae_weight
13239,0_NZ_CABKNQ010000018_Bacteroides_eggerthii_weight,0_Alex_ape_weight
13240,0_NZ_CABMJY010000051_Prevotellaceae_weight,0_HF992559_Prevotella_sp._CAG:1185_weight
13241,0_NZ_CAVK010000074_weight,0_NZ_CAVK010000074_weight
13242,0_NZ_CCAB010000112_Elizabethkingia_anophelis_fragment_weight,0_CCAB010000112_Elizabethkingia_anophelis_fragment_weight
13243,0_NZ_JVQR01000241_Bacteroides_thetaiotaomicron_weight,0_Alex_ape_weight
13244,0_NZ_QXJF01000013_Helicobacter_weight,0_NZ_QXJF01000013_Helicobacter_weight
13245,0_PHHT01000037_Bacillus_cereus_fragment_weight,0_PHHT01000037_Bacillus_cereus_fragment_weight
13246,0_PHHT01000054_Bacillus_cereus_fragment_weight,0_PHHT01000054_Bacillus_cereus_fragment_weight
13247,0_Parabac_KP087953,0_Parabac_KP087953
13248,0_Parabac_KP087953_-weight,0_Parabac_KP087953_-weight
13249,0_Parabac_MH572370,0_Parabac_MH572370
13250,0_Parabac_MH572370_-weight,0_Parabac_MH572370_-weight
13251,0_Parabac_MH572371,0_Parabac_MH572370
13252,0_Parabac_MH572371_-weight,0_Parabac_MH572371_-weight
13253,0_Parabac_MH572372,0_Parabac_MH572372
13254,0_Parabac_MH572372_-weight,0_Parabac_MH572372_-weight
13255,0_Parabac_MH572373,0_Aravirinae_KM589504
13256,0_Parabac_MH572373_-weight,0_Parabac_MH572370
13257,0_Pequenovirus_KP087943,0_Bullavirinae_NC_001420
13258,0_Pequenovirus_KP087943_-weight,0_Pequenovirus_KP087943_-weight
13259,0_Pequenovirus_KP087947,0_Bullavirinae_NC_001420
13260,0_Pequenovirus_KP087947_-weight,0_Pequenovirus_KP087947_-weight
13261,0_Pequenovirus_KP087950,0_Bullavirinae_NC_001420
13262,0_Pequenovirus_KP087950_-weight,0_Pequenovirus_KP087950_-weight
13263,0_Pequenovirus_KP087951,0_Bullavirinae_NC_001420
13264,0_Pequenovirus_KP087951_-weight,0_Pequenovirus_KP087951_-weight
13265,0_Pequenovirus_MH572352,0_Bullavirinae_NC_001420
13266,0_Pequenovirus_MH572352_-weight,0_Pequenovirus_MH572352_-weight
13267,0_Pequenovirus_MH572489,0_Bullavirinae_NC_001420
13268,0_Pequenovirus_MH572489_-weight,0_Pequenovirus_MH572489_-weight
13269,0_Pequenovirus_NC_026665,0_Bullavirinae_NC_001420
13270,0_Pequenovirus_NC_026665_-weight,0_Pequenovirus_NC_026665_-weight
13271,0_Pichovirinae_66_Microbialites_001,0_Pichovirinae_66_Microbialites_001
13272,0_Pichovirinae_JCVI_003,0_Pichovirinae_JCVI_003
13273,0_Pichovirinae_JCVI_003_-weight,0_Pichovirinae_JCVI_003_-weight
13274,0_Pichovirinae_KM589513,0_Aravirinae_KM589504
13275,0_Pichovirinae_KM589513_-weight,0_Pichovirinae_KM589513_-weight
13276,0_Pichovirinae_KP087937,0_Pichovirinae_KP087937
13277,0_Pichovirinae_KP087937_-weight,0_Pichovirinae_KP087937_-weight
13278,0_Pichovirinae_KP087948,0_Pichovirinae_KP087948
13279,0_Pichovirinae_KP087948_-weight,0_Pichovirinae_KP087948_-weight
13280,0_Pichovirinae_MH572367,0_Aravirinae_KM589504
13281,0_Pichovirinae_MH572367_-weight,0_Pichovirinae_MH572367_-weight
13282,0_Pichovirinae_MH572374,0_Pichovirinae_MH572374
13283,0_Pichovirinae_MH572374_-weight,0_Pichovirinae_MH572374_-weight
13284,0_Pichovirinae_MH572375,0_Pichovirinae_MH572375
13285,0_Pichovirinae_MH572375_-weight,0_Pichovirinae_MH572375_-weight
13286,0_Pichovirinae_MH572376,0_Pichovirinae_MH572376
13287,0_Pichovirinae_MH572376_-weight,0_Pichovirinae_MH572376_-weight
13288,0_Pichovirinae_MH572377,0_Pichovirinae_KP087937
13289,0_Pichovirinae_MH572377_-weight,0_Pichovirinae_MH572377_-weight
13290,0_Pichovirinae_MH572378,0_Pichovirinae_KP087937
13291,0_Pichovirinae_MH572378_-weight,0_Pichovirinae_MH572378_-weight
13292,0_Pichovirinae_MH572379,0_Pichovirinae_MH572379
13293,0_Pichovirinae_MH572379_-weight,0_Aravirinae_KM589504
13294,0_Pichovirinae_MH572460,0_Aravirinae_KM589504
13295,0_Pichovirinae_MH572460_-weight,0_Pichovirinae_MH572460_-weight
13296,0_Pichovirinae_MH572461,0_Pichovirinae_KP087937
13297,0_Pichovirinae_MH572461_-weight,0_Pichovirinae_MH572461_-weight
13298,0_Pichovirinae_MH572462,0_Pichovirinae_MH572462
13299,0_Pichovirinae_MH572462_-weight,0_Pichovirinae_MH572462_-weight
13300,0_Pichovirinae_MH572463,0_Pichovirinae_MH572463
13301,0_Pichovirinae_MH572463_-weight,0_Pichovirinae_KM589513_-weight
13302,0_Pichovirinae_MH572465,0_Aravirinae_KM589504
13303,0_Pichovirinae_MH572465_-weight,0_Pichovirinae_MH572465_-weight
13304,0_Pichovirinae_Pavin_723,0_Pichovirinae_MH572463
13305,0_Pichovirinae_Pavin_723_-weight,0_Pichovirinae_KM589513_-weight
13306,0_QAKY01000019_Lactobacillus_fermentum_weight,0_QAKY01000019_Lactobacillus_fermentum_weight
13307,0_QALP01000027_Coprobacter_fastidiosus_weight,0_QALP01000027_Coprobacter_fastidiosus_weight
13308,0_QKLQ01000002_Ensifer_sp._AP48_weight,0_JPYQ01000001_Rhizobium_sp._YS-1r_weight
13309,0_QLTS01000001_Phascolarctobacterium_faecium_DSM_14760_weight,0_QLTS01000001_Phascolarctobacterium_faecium_DSM_14760_weight
13310,0_QMOV01000168_Bacteroidetes_bacterium_weight,0_QMOV01000168_Bacteroidetes_bacterium_weight
13311,0_QNFS01000197_Gammaproteobacteria_bacterium_weight,0_QNFS01000197_Gammaproteobacteria_bacterium_weight
13312,0_QRNA01000095_Bacteroides_caccae_weight,0_CP041230_Bacteroides_xylanisolvens_weight
13313,0_QRNO01000065_Prevotella_stercorea_weight,0_QRNO01000065_Prevotella_stercorea_weight
13314,0_QROL01000019_Parabacteroides_merdae_weight,0_CZAG01000003_Parabacteroides_merdae_weight
13315,0_QROO01000017_Bacteroides_xylanisolvens_weight,0_CP041230_Bacteroides_xylanisolvens_weight
13316,0_QRPL01000004_Parabacteroides_merdae_weight,0_CZAG01000003_Parabacteroides_merdae_weight
13317,0_QRQJ01000075_Bacteroides_caccae_weight,0_CP041230_Bacteroides_xylanisolvens_weight
13318,0_QRTK01000041_Bacteroides_sp._AF27-33_weight,0_CP041230_Bacteroides_xylanisolvens_weight
13319,0_QSED01000020_Bacteroides_stercoris_weight,0_Alex_ape_weight
13320,0_QSII01000012_Parabacteroides_merdae_weight,0_CZAG01000003_Parabacteroides_merdae_weight
13321,0_QSLG01000014_Bacteroides_xylanisolvens_weight,0_CP041230_Bacteroides_xylanisolvens_weight
13322,0_QSUR01000043_Bacteroides_sp._OM05-10AA_weight,0_CP041230_Bacteroides_xylanisolvens_weight
13323,0_QTJV01000041_Chitinophaga_sp._K20C18050901_weight,0_QTJV01000041_Chitinophaga_sp._K20C18050901_weight
13324,0_QTLP01000027_Parabacteroides_sp._AF39-10AC_weight,0_CZAG01000003_Parabacteroides_merdae_weight
13325,0_QTLY01000002_Bacteroides_sp._AF29-11_weight,0_QTLY01000002_Bacteroides_sp._AF29-11_weight
13326,0_QTNL01000010_Parabacteroides_sp._AM27-42_weight,0_CZAG01000003_Parabacteroides_merdae_weight
13327,0_QVMO01000010_Dysgonomonas_sp._521_weight,0_QVMO01000010_Dysgonomonas_sp._521_weight
13328,0_RBVL01000316_Macrococcus_caseolyticus_fragment_weight,0_RBVL01000316_Macrococcus_caseolyticus_fragment_weight
13329,0_RFQL01000129_Burkholderiaceae_bacterium_weight,0_RFQL01000129_Burkholderiaceae_bacterium_weight
13330,0_RFSR01000068_Actinobacteria_bacterium_weight,0_DRRF01000562_Methylophaga_sp._fragment_weight
13331,0_RGBL01000244_Nitrosomonadaceae_bacterium_weight,0_RGBL01000244_Nitrosomonadaceae_bacterium_weight
13332,0_RGCK01000240_bacterium_weight,0_RGCK01000240_bacterium_weight
13333,0_RGEG01000159_Flavobacteriia_bacterium_weight,0_RGEG01000159_Flavobacteriia_bacterium_weight
13334,0_RGQO01000141_Flavobacteriia_bacterium_weight,0_RGQO01000141_Flavobacteriia_bacterium_weight
13335,0_RGQO01000145_Flavobacteriia_bacterium_weight,0_RGQO01000145_Flavobacteriia_bacterium_weight
13336,0_RGQO01000163_Flavobacteriia_bacterium_weight,0_RGQO01000163_Flavobacteriia_bacterium_weight
13337,0_RGVU01000268_Oxalobacteraceae_bacterium_fragment_weight,0_RGVU01000268_Oxalobacteraceae_bacterium_fragment_weight
13338,0_RPPN01000488_Geobacteraceae_bacterium_fragment_weight,0_RPPN01000488_Geobacteraceae_bacterium_fragment_weight
13339,0_RZOL01000004_Mesorhizobium_sp._M7A.F.Ca.ET.027.02.1.1_weight,0_CGM_MH572490
13340,0_RZOP01000741_Mesorhizobium_sp._M00.F.Ca.ET.038.03.1.1_fragment_weight,0_CGM_MH572490
13341,0_RZRY01000578_Mesorhizobium_sp._M2A.F.Ca.ET.039.01.1.1_fragment_weight,0_CGM_MH572490
13342,0_RZSF01000040_Mesorhizobium_sp._M1A.F.Ca.ET.072.01.1.1_weight,0_CGM_MH572490
13343,0_RZSI01000863_Mesorhizobium_sp._M8A.F.Ca.ET.023.01.1.1_fragment_weight,0_CGM_MH572490
13344,0_RZSN01000040_Mesorhizobium_sp._M1A.F.Ca.IN.020.04.1.1_weight,0_CGM_MH572490
13345,0_RZSO01000039_Mesorhizobium_sp._M1A.F.Ca.IN.020.30.1.1_weight,0_CGM_MH572490
13346,0_RZSQ01000084_Mesorhizobium_sp._M1A.F.Ca.IN.020.03.1.1_weight,0_CGM_MH572490
13347,0_RZSW01000361_Mesorhizobium_sp._M5C.F.Ca.IN.020.29.1.1_weight,0_CGM_MH572490
13348,0_Ruegeria_MF101922,0_Ruegeria_MF101922
13349,0_Ruegeria_MF101922_-weight,0_Ruegeria_MF101922_-weight
13350,0_Ruegeria_MF101922_MF101922,0_Ruegeria_MF101922_-weight
13351,0_Ruegeria_MH015251,0_Ruegeria_MF101922
13352,0_Ruegeria_MH015251_-weight,0_Ruegeria_MF101922_-weight
13353,0_SAAR01000467_Erysipelotrichia_bacterium_fragment_weight,0_SAAR01000467_Erysipelotrichia_bacterium_fragment_weight
13354,0_SABA01000203_Clostridia_bacterium_weight,0_SABA01000203_Clostridia_bacterium_weight
13355,0_SAKN01000011_Mesorhizobium_sp._weight,0_CGM_MH572490
13356,0_SAKQ01000001_Mesorhizobium_sp._weight,0_CGM_MH572490
13357,0_SAKY01000062_Mesorhizobium_sp._weight,0_CGM_MH572490
13358,0_SAMH01000078_Mesorhizobium_sp._weight,0_CGM_MH572490
13359,0_SAMK01000186_Mesorhizobium_sp._weight,0_CGM_MH572490
13360,0_SAMM01000001_Mesorhizobium_sp._weight,0_CGM_MH572490
13361,0_SAMO01000160_Mesorhizobium_sp._weight,0_CGM_MH572490
13362,0_SAMV01000049_Mesorhizobium_sp._weight,0_CGM_MH572490
13363,0_SAOF01000002_Mesorhizobium_sp._weight,0_CGM_MH572490
13364,0_SAOS01000008_Mesorhizobium_sp._weight,0_CGM_MH572490
13365,0_SAQQ01000039_Mesorhizobium_sp._weight,0_CGM_MH572490
13366,0_SARH01000002_Mesorhizobium_sp._weight,0_CGM_MH572490
13367,0_SARY01000021_Mesorhizobium_sp._weight,0_CGM_MH572490
13368,0_SASH01000068_Mesorhizobium_sp._weight,0_CGM_MH572490
13369,0_SASU01000086_Mesorhizobium_sp._weight,0_CGM_MH572490
